PG,SG,SF,PF,C,G,F,UTIL
Lonzo Ball,Collin Sexton,Kevin Durant,D.J. Wilson,Joel Embiid,Ricky Rubio,OG Anunoby,Montrezl Harrell
Dejounte Murray,Gary Trent Jr.,Harrison Barnes,D.J. Wilson,Nikola Jokic,Ricky Rubio,Onyeka Okongwu,Christian Wood
De'Aaron Fox,Will Barton,LeBron James,Darius Bazley,Giannis Antetokounmpo,Ricky Rubio,D.J. Wilson,Collin Sexton
Monte Morris,Collin Sexton,LeBron James,D.J. Wilson,Nikola Jokic,Ricky Rubio,OG Anunoby,Richaun Holmes
Dejounte Murray,Anthony Edwards,,D.J. Wilson,Onyeka Okongwu,Ricky Rubio,Kevin Durant,OG Anunoby
Ricky Rubio,Collin Sexton,LeBron James,D.J. Wilson,Bobby Portis,,OG Anunoby,Pat Connaughton
James Harden,Collin Sexton,OG Anunoby,D.J. Wilson,Jakob Poeltl,Dejounte Murray,John Collins,Ricky Rubio
De'Aaron Fox,Brandon Knight,Tim Hardaway Jr.,D.J. Wilson,Nikola Jokic,Ricky Rubio,Giannis Antetokounmpo,Montrezl Harrell
Luka Doncic,Collin Sexton,Harrison Barnes,Kristaps Porzingis,Nikola Jokic,Ricky Rubio,D.J. Wilson,Cameron Oliver
Luka Doncic,Collin Sexton,Tim Hardaway Jr.,D.J. Wilson,Anthony Davis,Monte Morris,Kevin Durant,Ricky Rubio
Mike Conley,Collin Sexton,Kevin Durant,Keldon Johnson,Nikola Jokic,Ricky Rubio,D.J. Wilson,Bobby Portis
Dejounte Murray,Bojan Bogdanovic,,D.J. Wilson,Christian Wood,Ricky Rubio,Aaron Gordon,Montrezl Harrell
